127.0.0.1 - - [26/May/2022:19:56:46 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:47 +0700] "GET /DiamonShop/ HTTP/1.1" 200 25821
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/style.css HTTP/1.1" 200 7692
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/js/jquery.js HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/font-awesome/font/fontawesome-webfont.eot? HTTP/1.1" 200 37405
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/js/shop.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/paypal.jpg HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/slide/carousel3.png HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/slide/carousel1.png HTTP/1.1" 200 62632
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 200 57764
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/4.png HTTP/1.1" 200 5543
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/5.png HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/bootstrap-template.png HTTP/1.1" 200 31994
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/maestro.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/6.png HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/3.png HTTP/1.1" 200 7435
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/mc.png HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/2.png HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/pp.png HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/1.png HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/disc.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [26/May/2022:19:56:48 +0700] "GET /DiamonShop/assets/user/img/visa.png HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/ HTTP/1.1" 200 25747
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/js/shop.js HTTP/1.1" 304 -
